region_id,year,quarter,buildings_count,apartments_count,total_living_area
54,2024,2,6,737,43604.0
25,2024,2,13,1887,92432.0
16,2024,2,31,2825,147293.0
26,2024,2,5,1257,62598.0
81,2024,2,2,461,24673.0
37,2024,2,16,2227,108958.0
36,2024,2,8,1082,57453.0
62,2024,2,9,841,41195.0
75,2024,2,9,861,45276.0
59,2024,2,4,1030,49163.0
6,2024,2,25,10189,426510.0
43,2024,2,11,1793,92293.0
3,2024,2,44,16596,757239.0
23,2024,2,17,3023,169840.0
74,2024,2,3,455,22873.0
8,2024,2,88,10482,521386.0
52,2024,2,2,422,23620.0
41,2024,2,42,2960,157400.0
55,2024,2,5,745,37801.0
35,2024,2,12,2464,130449.0
17,2024,2,15,3153,138637.0
53,2024,2,9,1133,63081.0
9,2024,2,26,11241,491356.0
14,2024,2,5,1508,74071.0
12,2024,2,53,3077,172598.0
20,2024,2,15,1233,63215.0
64,2024,2,7,835,38814.0
7,2024,2,62,15706,741590.0
46,2024,2,5,497,30446.0
51,2024,2,6,570,29071.0
42,2024,2,17,1256,64421.0
68,2024,2,4,344,19843.0
28,2024,2,6,1433,67275.0
13,2024,2,54,8376,437175.0
34,2024,2,11,2232,100937.0
18,2024,2,26,4526,221116.0
72,2024,2,6,1200,52397.0
24,2024,2,25,2779,142679.0
1,2024,2,36,26235,1296073.0
2,2024,2,28,5234,230325.0
39,2024,2,9,1547,76416.0
60,2024,2,18,1146,61663.0
38,2024,2,27,4412,205816.0
58,2024,2,1,91,4237.0
85,2024,2,4,568,34405.0
87,2024,2,3,246,14841.0
50,2024,1,12,2280,100771.0
5,2024,1,25,6887,293608.0
56,2024,1,3,258,13413.0
61,2024,1,10,1676,97291.0
66,2024,1,7,168,11206.0
83,2024,1,2,469,17620.0
49,2024,1,4,380,19432.0
63,2024,1,3,462,28444.0
48,2024,1,5,792,50889.0
71,2024,1,3,424,23535.0
45,2024,1,9,1322,59958.0
47,2024,1,13,1255,74158.0
11,2024,1,24,4627,254039.0
78,2024,1,14,674,27203.0
27,2024,1,10,2004,94749.0
67,2024,1,1,136,9641.0
33,2024,1,10,1211,65683.0
21,2024,1,8,1696,93311.0
4,2024,1,78,12697,614866.0
10,2024,1,8,1387,77490.0
29,2024,1,35,6251,329807.0
19,2024,1,28,5682,298237.0
44,2024,1,12,1392,72231.0
70,2024,1,9,1357,65860.0
40,2024,1,10,1778,81102.0
57,2024,1,13,2685,107337.0
65,2024,1,6,144,7545.0
32,2024,1,8,1675,84623.0
22,2024,1,5,575,33969.0
30,2024,1,15,1145,58255.0
31,2024,1,7,1057,56982.0
15,2024,1,16,2711,143762.0
54,2024,1,6,434,26929.0
25,2024,1,4,848,42641.0
16,2024,1,23,3738,192801.0
26,2024,1,7,990,56257.0
81,2024,1,1,56,2657.0
37,2024,1,7,999,54218.0
36,2024,1,6,818,38515.0
62,2024,1,9,511,28269.0
75,2024,1,8,1374,71242.0
59,2024,1,3,279,16454.0
6,2024,1,11,4870,181684.0
43,2024,1,59,289,20682.0
3,2024,1,70,16023,710800.0
23,2024,1,18,2423,111813.0
74,2024,1,2,207,12470.0
8,2024,1,143,5572,275772.0
52,2024,1,1,175,10165.0
41,2024,1,9,1081,56416.0
55,2024,1,3,567,32292.0
35,2024,1,9,2063,112882.0
17,2024,1,11,2589,123910.0
53,2024,1,4,345,16968.0
9,2024,1,29,4762,237571.0
14,2024,1,34,4612,248517.0
12,2024,1,9,1898,99288.0
20,2024,1,2,223,11191.0
64,2024,1,3,903,40015.0
7,2024,1,45,12595,643107.0
46,2024,1,6,360,20505.0
51,2024,1,4,415,21768.0
42,2024,1,8,741,37762.0
68,2024,1,8,874,43120.0
28,2024,1,15,3305,168144.0
13,2024,1,36,8640,430563.0
34,2024,1,9,1378,60718.0
18,2024,1,24,4570,225470.0
72,2024,1,3,661,30942.0
24,2024,1,18,1533,87003.0
1,2024,1,47,28580,1581073.0
2,2024,1,37,11550,486591.0
39,2024,1,8,1181,58366.0
60,2024,1,10,431,22150.0
38,2024,1,28,4929,239328.0
58,2024,1,9,795,37093.0
85,2024,1,1,96,6025.0
50,2023,4,5,1253,56035.0
5,2023,4,57,10093,466149.0
56,2023,4,12,727,46537.0
61,2023,4,6,1071,57567.0
66,2023,4,2,373,29339.0
77,2023,4,3,101,7145.0
83,2023,4,6,816,46294.0
49,2023,4,2,252,14327.0
63,2023,4,4,546,27587.0
48,2023,4,15,1758,100764.0
71,2023,4,3,601,33607.0
45,2023,4,12,2752,136885.0
47,2023,4,8,651,44844.0
11,2023,4,82,7376,374115.0
78,2023,4,13,1468,61099.0
27,2023,4,12,2106,103217.0
67,2023,4,8,476,23369.0
69,2023,4,1,280,21042.0
33,2023,4,13,1409,77567.0
21,2023,4,20,3968,193188.0
4,2023,4,65,16180,764927.0
10,2023,4,32,8119,403839.0
29,2023,4,24,6543,293583.0
19,2023,4,48,7970,369976.0
44,2023,4,13,3141,160818.0
70,2023,4,14,2762,119133.0
