stats_id,month_date,region_id,obj_cnt,total_area,living_area,parking_cnt
476,2021-07-01,37,9,115000,78500,94
477,2021-07-01,22,20,92500,68500,66
478,2021-07-01,33,27,279800,194100,30
479,2021-07-01,72,3,23400,20600,0
480,2021-07-01,46,16,125700,91900,45
481,2021-07-01,20,17,325800,199900,0
482,2021-07-01,43,6,97600,69100,150
483,2021-07-01,51,6,3500,1600,0
484,2021-07-01,74,3,11000,8100,0
485,2021-07-01,49,11,86200,56700,34
486,2021-07-01,19,52,445800,286800,315
487,2021-07-01,34,25,157600,112200,36
488,2021-07-01,24,21,157100,104200,51
489,2021-07-01,56,5,33800,19700,0
490,2021-07-01,21,17,283700,187600,0
491,2021-07-01,50,3,35500,23600,0
492,2021-07-01,40,18,104800,71700,35
493,2021-07-01,79,2,2200,1700,0
494,2021-07-01,54,4,30800,21700,0
495,2021-07-01,39,15,164300,95800,42
496,2021-07-01,71,6,50400,30500,0
497,2021-07-01,31,11,65000,50900,0
498,2021-07-01,76,1,2500,1900,0
499,2021-07-01,64,6,32600,24900,0
500,2021-07-01,4,88,1108700,740600,991
501,2021-07-01,80,2,23400,16600,0
502,2021-07-01,58,19,149100,102700,0
503,2021-07-01,2,87,2395300,1380400,5495
504,2021-07-01,29,12,219000,131700,579
505,2021-07-01,36,12,65800,44100,33
506,2021-07-01,35,14,210200,125600,90
507,2021-07-01,28,23,274700,164800,38
508,2021-07-01,52,4,73300,45300,50
509,2021-07-01,84,1,1700,1300,0
510,2021-07-01,61,1,14600,10700,0
511,2021-07-01,7,41,763500,499400,1065
512,2021-07-01,8,60,729900,444700,1237
513,2021-07-01,5,33,515900,362900,409
514,2021-07-01,12,16,391500,251400,703
515,2021-07-01,59,2,20400,15500,84
516,2021-07-01,30,16,114700,75400,230
517,2021-07-01,13,27,297500,212500,125
518,2021-07-01,17,31,498100,316700,373
519,2021-07-01,62,16,72300,52800,0
520,2021-07-01,9,71,613000,393800,506
521,2021-08-01,71,6,50400,30500,0
522,2021-08-01,40,25,132500,92300,35
523,2021-08-01,65,10,88200,49700,50
524,2021-08-01,74,6,23600,17600,0
525,2021-08-01,24,26,189200,127400,51
526,2021-08-01,4,136,1934400,1297200,1129
527,2021-08-01,6,37,320000,205300,0
528,2021-08-01,13,30,313600,224700,125
529,2021-08-01,48,8,70500,47900,0
530,2021-08-01,15,22,363000,256500,0
531,2021-08-01,57,5,74900,52500,49
532,2021-08-01,61,1,14600,10700,0
533,2021-08-01,22,23,113700,84800,66
534,2021-08-01,19,54,488700,315500,315
535,2021-08-01,63,5,52900,32600,0
536,2021-08-01,10,19,292800,185500,254
537,2021-08-01,34,28,210500,144800,36
538,2021-08-01,12,21,477100,305800,801
539,2021-08-01,44,16,189400,89700,234
540,2021-08-01,77,3,12700,11300,0
541,2021-08-01,11,58,752100,473100,1544
542,2021-08-01,45,19,177300,124300,172
543,2021-08-01,76,1,2500,1900,0
544,2021-08-01,32,15,175500,113800,1
545,2021-08-01,23,22,226600,142200,379
546,2021-08-01,60,16,60900,41300,0
547,2021-08-01,43,11,126200,89900,150
548,2021-08-01,75,2,6400,4900,0
549,2021-08-01,39,20,243500,141400,278
550,2021-08-01,38,22,146400,93600,58
551,2021-08-01,25,48,191100,127500,68
552,2021-08-01,80,2,23400,16600,0
553,2021-08-01,66,6,40200,31300,0
554,2021-08-01,49,13,98600,64600,34
555,2021-08-01,51,9,23200,15000,0
556,2021-08-01,3,157,2941100,1899600,2277
557,2021-08-01,27,22,295500,185700,187
558,2021-08-01,54,4,30800,21700,0
559,2021-08-01,72,3,23400,20600,0
560,2021-08-01,83,2,11400,7200,0
561,2021-08-01,30,18,140600,93200,230
562,2021-08-01,67,7,66200,46100,0
563,2021-08-01,18,14,202100,134200,27
564,2021-08-01,35,14,210200,125600,90
565,2021-08-01,26,21,171100,123700,55
566,2021-08-01,14,11,225200,144200,193
567,2021-08-01,47,11,84800,62000,42
568,2021-08-01,36,13,75400,50000,60
569,2021-08-01,64,6,32600,24900,0
570,2021-08-01,50,5,45200,29600,0
571,2021-08-01,56,7,69700,41800,0
572,2021-08-01,62,25,114200,82800,0
573,2021-08-01,42,21,148600,104400,23
574,2021-08-01,79,2,2200,1700,0
575,2021-08-01,53,14,120500,83400,8
576,2021-08-01,31,12,81800,67700,0
577,2021-08-01,59,2,20400,15500,84
578,2021-08-01,2,102,2942100,1696300,7231
579,2021-08-01,37,11,137800,91100,185
580,2021-08-01,69,2,23100,17000,0
581,2021-08-01,33,27,279800,194100,30
582,2021-08-01,29,13,234900,140400,663
583,2021-08-01,1,45,1854300,1021500,6029
584,2021-08-01,28,26,298000,180900,38
585,2021-08-01,17,40,713100,463400,521
586,2021-08-01,46,17,129400,94800,45
587,2021-08-01,68,2,21400,15100,0
588,2021-08-01,52,5,80200,49800,50
589,2021-08-01,8,64,778500,477200,1237
590,2021-08-01,16,68,581400,376900,518
591,2021-08-01,21,21,361100,232200,19
592,2021-08-01,55,7,78600,54900,0
593,2021-08-01,5,43,652000,444200,692
594,2021-08-01,9,83,718600,449100,1005
595,2021-08-01,7,49,986700,628200,1720
596,2021-08-01,41,10,84800,60300,0
597,2021-08-01,58,20,182700,126100,0
598,2021-08-01,20,20,347300,213600,0
599,2021-08-01,84,1,1700,1300,0
600,2021-09-01,62,26,116100,84000,0
601,2021-09-01,42,24,173200,120900,23
602,2021-09-01,13,40,376700,270700,125
603,2021-09-01,11,68,999900,610400,2699
604,2021-09-01,77,3,12700,11300,0
605,2021-09-01,75,5,29800,21500,0
606,2021-09-01,38,24,157800,101000,58
607,2021-09-01,56,7,69700,41800,0
608,2021-09-01,76,1,2500,1900,0
609,2021-09-01,83,2,11400,7200,0
610,2021-09-01,19,57,555400,354200,494
611,2021-09-01,55,7,78600,54900,0
612,2021-09-01,25,51,218600,144400,112
613,2021-09-01,66,6,40200,31300,0
614,2021-09-01,80,2,23400,16600,0
615,2021-09-01,4,139,2000500,1341700,1157
616,2021-09-01,15,27,441700,308100,0
617,2021-09-01,54,4,30800,21700,0
618,2021-09-01,43,13,164600,123800,150
619,2021-09-01,39,22,317800,195200,479
620,2021-09-01,58,20,182700,126100,0
621,2021-09-01,30,19,149100,99400,230
622,2021-09-01,2,115,3382100,1967900,7342
623,2021-09-01,61,1,14600,10700,0
624,2021-09-01,46,18,137500,101100,45
625,2021-09-01,67,10,81300,56500,0
626,2021-09-01,16,76,662100,430300,518
627,2021-09-01,71,7,60800,37900,0
628,2021-09-01,65,10,88200,49700,50
629,2021-09-01,51,10,32000,21900,0
630,2021-09-01,27,25,318800,201100,187
631,2021-09-01,14,12,240200,153700,193
632,2021-09-01,32,18,229600,151700,1
633,2021-09-01,63,6,59600,37500,0
634,2021-09-01,6,47,492100,318500,0
635,2021-09-01,8,72,910300,563900,1290
636,2021-09-01,59,3,28400,21500,84
637,2021-09-01,24,27,201300,136200,51
638,2021-09-01,3,166,3227300,2079800,2463
639,2021-09-01,33,29,295700,205800,30
640,2021-09-01,10,23,345500,217400,254
641,2021-09-01,64,6,32600,24900,0
642,2021-09-01,21,22,366700,236700,19
643,2021-09-01,50,6,56200,36500,0
644,2021-09-01,37,11,137800,91100,185
645,2021-09-01,44,17,227700,106400,411
646,2021-09-01,23,25,245700,156300,379
647,2021-09-01,57,6,84400,58900,49
648,2021-09-01,69,2,23100,17000,0
649,2021-09-01,72,3,23400,20600,0
650,2021-09-01,5,45,680000,466700,692
651,2021-09-01,68,2,21400,15100,0
652,2021-09-01,79,2,2200,1700,0
653,2021-09-01,84,1,1700,1300,0
654,2021-09-01,7,58,1104700,702600,1852
655,2021-09-01,22,24,122800,91100,66
656,2021-09-01,74,6,23600,17600,0
