region_code,region_name,year,quarter,buildings_count,apartments_count,total_living_area
77,Город Москва,2025,3,35,18576,1060648
78,Город Санкт-Петербург,2025,3,25,7372,302701
86,Ханты-Мансийский АО - Югра,2025,3,0,,
89,Ямало-Ненецкий АО,2025,3,2,166,8107
91,Республика Крым,2025,3,40,3280,161668
92,Город Севастополь,2025,3,2,205,10811
93,Донецкая Народная Республика,2025,3,27,2881,133596
94,Луганская Народная Республика,2025,3,15,1724,99924
95,Херсонская область,2025,3,2,287,14865
1,Республика Адыгея,2025,2,14,3046,133127
2,Республика Башкортостан,2025,2,15,2456,119734
3,Республика Бурятия,2025,2,8,908,39000
4,Республика Алтай,2025,2,8,531,30589
5,Республика Дагестан,2025,2,7,1464,87261
7,Кабардино-Балкарская Республика,2025,2,5,1497,81976
8,Республика Калмыкия,2025,2,1,72,5732
9,Карачаево-Черкесская Республика,2025,2,6,987,51746
10,Республика Карелия,2025,2,3,134,10284
11,Республика Коми,2025,2,2,156,9811
12,Республика Марий Эл,2025,2,8,720,42110
13,Республика Мордовия,2025,2,4,457,24057
14,Республика Саха (Якутия),2025,2,6,881,42895
15,Республика Северная Осетия,2025,2,5,440,25357
16,Республика Татарстан,2025,2,52,8281,391507
17,Республика Тыва,2025,2,0,,
18,Удмуртская Республика,2025,2,19,3054,148619
19,Республика Хакасия,2025,2,7,516,22756
20,Чеченская Республика,2025,2,4,1144,67526
21,Чувашская Республика,2025,2,13,1447,83547
22,Алтайский край,2025,2,5,798,40296
23,Краснодарский край,2025,2,57,8295,386764
24,Красноярский край,2025,2,9,3757,197269
25,Приморский край,2025,2,20,3576,180997
26,Ставропольский край,2025,2,27,5228,274696
27,Хабаровский край,2025,2,18,4172,189697
28,Амурская область,2025,2,5,576,26277
29,Архангельская область,2025,2,9,1827,85114
30,Астраханская область,2025,2,8,2026,96937
31,Белгородская область,2025,2,12,766,39173
32,Брянская область,2025,2,4,459,22156
33,Владимирская область,2025,2,3,344,17135
34,Волгоградская область,2025,2,21,1826,90149
35,Вологодская область,2025,2,7,607,37942
36,Воронежская область,2025,2,21,5956,269976
37,Ивановская область,2025,2,4,374,21392
38,Иркутская область,2025,2,12,2019,104585
39,Калининградская область,2025,2,24,3044,125446
40,Калужская область,2025,2,6,668,38021
42,Кемеровская область - Кузбасс,2025,2,8,1285,63552
43,Кировская область,2025,2,9,881,46494
44,Костромская область,2025,2,5,226,12958
45,Курганская область,2025,2,3,338,17308
46,Курская область,2025,2,7,597,33571
47,Ленинградская область,2025,2,71,6445,284421
48,Липецкая область,2025,2,41,403,25649
50,Московская область,2025,2,100,12193,561534
51,Мурманская область,2025,2,2,926,40546
52,Нижегородская область,2025,2,19,5746,268178
53,Новгородская область,2025,2,2,216,10771
54,Новосибирская область,2025,2,42,8599,438481
55,Омская область,2025,2,6,1429,73017
56,Оренбургская область,2025,2,17,1238,64220
57,Орловская область,2025,2,1,150,8872
58,Пензенская область,2025,2,4,994,49524
59,Пермский край,2025,2,19,3984,193610
60,Псковская область,2025,2,7,704,33253
61,Ростовская область,2025,2,12,3194,146152
62,Рязанская область,2025,2,3,1119,51240
63,Самарская область,2025,2,9,1868,92484
64,Саратовская область,2025,2,7,611,32993
65,Сахалинская область,2025,2,4,498,32688
66,Свердловская область,2025,2,37,8113,393288
67,Смоленская область,2025,2,5,256,13760
68,Тамбовская область,2025,2,2,230,12206
69,Тверская область,2025,2,4,803,36139
70,Томская область,2025,2,2,167,8205
71,Тульская область,2025,2,6,1029,55158
72,Тюменская область,2025,2,26,8757,439116
73,Ульяновская область,2025,2,11,135,7804
74,Челябинская область,2025,2,24,4214,218464
75,Забайкальский край,2025,2,3,583,27932
76,Ярославская область,2025,2,18,2115,92383
77,Город Москва,2025,2,40,19210,1024047
78,Город Санкт-Петербург,2025,2,30,12003,473966
86,Ханты-Мансийский АО - Югра,2025,2,11,1524,87090
87,Чукотский АО,2025,2,1,40,2144
89,Ямало-Ненецкий АО,2025,2,5,533,30415
91,Республика Крым,2025,2,29,6476,320064
92,Город Севастополь,2025,2,2,193,10743
93,Донецкая Народная Республика,2025,2,12,1564,78545
94,Луганская Народная Республика,2025,2,1,140,10803
95,Херсонская область,2025,2,4,813,35708
1,Республика Адыгея,2025,1,5,1688,89381
2,Республика Башкортостан,2025,1,22,5544,233961
3,Республика Бурятия,2025,1,7,531,25490
5,Республика Дагестан,2025,1,0,,
7,Кабардино-Балкарская Республика,2025,1,4,534,33507
8,Республика Калмыкия,2025,1,1,8,1026
9,Карачаево-Черкесская Республика,2025,1,2,447,24427
10,Республика Карелия,2025,1,2,185,8640
11,Республика Коми,2025,1,1,28,1639
12,Республика Марий Эл,2025,1,10,720,33603
13,Республика Мордовия,2025,1,1,136,6820
14,Республика Саха (Якутия),2025,1,8,1201,61449
15,Республика Северная Осетия,2025,1,1,182,11009
16,Республика Татарстан,2025,1,29,4313,214754
17,Республика Тыва,2025,1,7,240,11688
18,Удмуртская Республика,2025,1,17,2218,102259
19,Республика Хакасия,2025,1,2,408,20043
20,Чеченская Республика,2025,1,1,396,29030
21,Чувашская Республика,2025,1,4,393,22332
22,Алтайский край,2025,1,7,1060,51490
23,Краснодарский край,2025,1,39,9461,436256
24,Красноярский край,2025,1,13,2827,156352
25,Приморский край,2025,1,12,1922,87752
26,Ставропольский край,2025,1,20,3915,197298
27,Хабаровский край,2025,1,13,2556,128538
28,Амурская область,2025,1,1,135,6427
29,Архангельская область,2025,1,5,587,24534
30,Астраханская область,2025,1,3,754,33604
31,Белгородская область,2025,1,2,265,14216
32,Брянская область,2025,1,12,672,37374
33,Владимирская область,2025,1,4,749,44491
34,Волгоградская область,2025,1,16,1372,61864
35,Вологодская область,2025,1,7,584,28037
36,Воронежская область,2025,1,19,4809,237551
37,Ивановская область,2025,1,4,434,26404
38,Иркутская область,2025,1,5,735,43925
39,Калининградская область,2025,1,17,1610,80006
40,Калужская область,2025,1,2,151,6818
41,Камчатский край,2025,1,0,,
42,Кемеровская область - Кузбасс,2025,1,3,297,15291
43,Кировская область,2025,1,5,844,42355
44,Костромская область,2025,1,7,501,28647
45,Курганская область,2025,1,1,325,18400
46,Курская область,2025,1,0,,
47,Ленинградская область,2025,1,38,7789,340890
48,Липецкая область,2025,1,41,535,30490
50,Московская область,2025,1,41,8518,375990
52,Нижегородская область,2025,1,10,2280,115260
53,Новгородская область,2025,1,8,742,39706
54,Новосибирская область,2025,1,47,5544,304639
55,Омская область,2025,1,7,1587,88473
56,Оренбургская область,2025,1,14,1234,59507
57,Орловская область,2025,1,2,317,18299
58,Пензенская область,2025,1,11,2642,132926
59,Пермский край,2025,1,17,2453,125806
60,Псковская область,2025,1,6,674,30604
61,Ростовская область,2025,1,13,5022,209309
62,Рязанская область,2025,1,3,301,15566
63,Самарская область,2025,1,13,1796,93894
64,Саратовская область,2025,1,2,418,21190
65,Сахалинская область,2025,1,1,453,20921
66,Свердловская область,2025,1,27,10395,494050
67,Смоленская область,2025,1,15,1287,68006
68,Тамбовская область,2025,1,6,983,55601
69,Тверская область,2025,1,1,96,6375
70,Томская область,2025,1,13,2098,106357
71,Тульская область,2025,1,8,1566,84483
72,Тюменская область,2025,1,21,4172,212175
73,Ульяновская область,2025,1,8,1552,71652
74,Челябинская область,2025,1,9,1507,80983
75,Забайкальский край,2025,1,7,995,45995
76,Ярославская область,2025,1,7,533,27494
77,Город Москва,2025,1,20,14130,772456
78,Город Санкт-Петербург,2025,1,22,13218,539465
86,Ханты-Мансийский АО - Югра,2025,1,5,645,33217
89,Ямало-Ненецкий АО,2025,1,2,165,7815
91,Республика Крым,2025,1,33,5854,261803
92,Город Севастополь,2025,1,2,96,4396
93,Донецкая Народная Республика,2025,1,5,785,38517
94,Луганская Народная Республика,2025,1,2,160,10337
1,Республика Адыгея,2024,4,8,1278,58167
2,Республика Башкортостан,2024,4,35,8794,393473
3,Республика Бурятия,2024,4,14,2306,124262
4,Республика Алтай,2024,4,0,,
5,Республика Дагестан,2024,4,16,3273,182432
7,Кабардино-Балкарская Республика,2024,4,3,1106,59850
8,Республика Калмыкия,2024,4,2,126,6798
9,Карачаево-Черкесская Республика,2024,4,1,96,5437
10,Республика Карелия,2024,4,3,519,25265
11,Республика Коми,2024,4,1,84,5979
12,Республика Марий Эл,2024,4,11,1091,63295
13,Республика Мордовия,2024,4,9,739,41144
14,Республика Саха (Якутия),2024,4,16,2027,88245
15,Республика Северная Осетия,2024,4,7,727,48666
16,Республика Татарстан,2024,4,35,6898,371592
17,Республика Тыва,2024,4,6,487,22397
18,Удмуртская Республика,2024,4,5,874,47513
19,Республика Хакасия,2024,4,4,596,29215
20,Чеченская Республика,2024,4,16,2731,147166
21,Чувашская Республика,2024,4,11,1661,98421
22,Алтайский край,2024,4,14,2153,133210
23,Краснодарский край,2024,4,102,14138,651349
24,Красноярский край,2024,4,19,6262,314078
25,Приморский край,2024,4,34,7388,347221
26,Ставропольский край,2024,4,26,3900,189570
27,Хабаровский край,2024,4,9,1557,88161
28,Амурская область,2024,4,3,192,8341
29,Архангельская область,2024,4,12,1974,94126
30,Астраханская область,2024,4,9,1941,89420
31,Белгородская область,2024,4,10,374,19085
32,Брянская область,2024,4,11,654,30093
33,Владимирская область,2024,4,10,1922,92332
34,Волгоградская область,2024,4,17,1392,63127
35,Вологодская область,2024,4,37,748,48048
36,Воронежская область,2024,4,22,5529,263694
37,Ивановская область,2024,4,8,674,42670
38,Иркутская область,2024,4,8,1113,59756
39,Калининградская область,2024,4,37,3420,172956
40,Калужская область,2024,4,5,1077,59956
41,Камчатский край,2024,4,5,845,47825
42,Кемеровская область - Кузбасс,2024,4,4,721,35577
43,Кировская область,2024,4,10,1139,62572
44,Костромская область,2024,4,3,143,8286
45,Курганская область,2024,4,7,1248,61122
46,Курская область,2024,4,5,1115,62723
47,Ленинградская область,2024,4,33,10982,463408
48,Липецкая область,2024,4,4,667,37821
50,Московская область,2024,4,64,19544,840444
51,Мурманская область,2024,4,1,310,15019
52,Нижегородская область,2024,4,20,4149,198715
53,Новгородская область,2024,4,0,,
54,Новосибирская область,2024,4,143,6784,332046
55,Омская область,2024,4,2,463,26188
56,Оренбургская область,2024,4,47,2091,106332
57,Орловская область,2024,4,0,,
58,Пензенская область,2024,4,12,3437,190553
59,Пермский край,2024,4,15,3567,172135
60,Псковская область,2024,4,4,423,19675
61,Ростовская область,2024,4,70,28745,1296924
62,Рязанская область,2024,4,2,782,34941
63,Самарская область,2024,4,13,2376,120935
64,Саратовская область,2024,4,14,1995,125324
65,Сахалинская область,2024,4,5,690,32910
66,Свердловская область,2024,4,76,12811,605870
67,Смоленская область,2024,4,16,1638,91587
68,Тамбовская область,2024,4,6,1039,44368
69,Тверская область,2024,4,2,60,3733
70,Томская область,2024,4,4,647,34141
71,Тульская область,2024,4,6,1984,116005
72,Тюменская область,2024,4,28,9652,479343
73,Ульяновская область,2024,4,3,461,23124
74,Челябинская область,2024,4,15,2604,154831
75,Забайкальский край,2024,4,3,685,31108
76,Ярославская область,2024,4,6,1031,43888
77,Город Москва,2024,4,35,26221,1310942
78,Город Санкт-Петербург,2024,4,16,8415,334307
86,Ханты-Мансийский АО - Югра,2024,4,6,1254,74134
87,Чукотский АО,2024,4,1,12,243
89,Ямало-Ненецкий АО,2024,4,3,259,13722
91,Республика Крым,2024,4,27,2688,141355
92,Город Севастополь,2024,4,2,198,11223
93,Донецкая Народная Республика,2024,4,7,865,41261
1,Республика Адыгея,2024,3,9,950,40742
2,Республика Башкортостан,2024,3,40,10270,450300
3,Республика Бурятия,2024,3,28,4911,256536
4,Республика Алтай,2024,3,2,234,10913
5,Республика Дагестан,2024,3,13,2111,121298
6,Республика Ингушетия,2024,3,2,62,4510
7,Кабардино-Балкарская Республика,2024,3,10,1300,86337
8,Республика Калмыкия,2024,3,1,52,3406
9,Карачаево-Черкесская Республика,2024,3,5,705,52633
10,Республика Карелия,2024,3,2,229,11842
11,Республика Коми,2024,3,1,78,3376
12,Республика Марий Эл,2024,3,9,973,55491
13,Республика Мордовия,2024,3,2,191,10797
14,Республика Саха (Якутия),2024,3,17,2528,119147
15,Республика Северная Осетия,2024,3,7,838,53331
16,Республика Татарстан,2024,3,29,5803,278137
17,Республика Тыва,2024,3,2,208,8756
18,Удмуртская Республика,2024,3,15,2234,105418
19,Республика Хакасия,2024,3,4,840,47165
20,Чеченская Республика,2024,3,1,252,13405
21,Чувашская Республика,2024,3,12,1534,88472
22,Алтайский край,2024,3,10,1389,64908
23,Краснодарский край,2024,3,68,15177,739904
24,Красноярский край,2024,3,16,3404,176770
25,Приморский край,2024,3,20,5370,271597
26,Ставропольский край,2024,3,17,3514,178073
27,Хабаровский край,2024,3,17,3085,143895
28,Амурская область,2024,3,7,688,23934
29,Архангельская область,2024,3,11,1863,96597
30,Астраханская область,2024,3,6,1492,76458
31,Белгородская область,2024,3,7,645,27997
32,Брянская область,2024,3,4,1035,52029
33,Владимирская область,2024,3,18,592,37559
34,Волгоградская область,2024,3,23,2415,112481
35,Вологодская область,2024,3,7,707,36834
