month_dt,region_desc,obj_cnt,total_area,living_area,elem_1k_cnt,elem_2k_cnt,elem_3k_cnt,elem_4k_cnt,elem_parking_cnt
2021-04-01,Ивановская область,3,22200,16800,173,125,27,0,0
2021-04-01,Ямало-Ненецкий Автономный округ,8,49700,32900,371,229,95,10,0
2021-04-01,Тамбовская область,6,3500,1600,48,0,0,0,0
2021-04-01,Волгоградская область,11,78700,51100,629,152,113,0,230
2021-04-01,Севастополь город,16,103600,72600,816,530,122,14,0
2021-04-01,Калужская область,15,82700,61500,727,479,68,0,0
2021-04-01,Хакасия Республика,7,66200,46100,510,286,90,4,0
2021-04-01,Оренбургская область,5,25400,19400,182,115,66,0,0
2021-04-01,Архангельская область,13,71900,49300,468,361,122,4,12
2021-04-01,Чувашская Республика,20,212000,148900,1273,1124,354,9,30
2021-04-01,Бурятия Республика,2,14700,9300,123,72,14,0,0
2021-04-01,Ульяновская область,9,67900,47700,446,366,129,0,36
2021-04-01,Ленинградская область,19,104900,68700,950,364,168,28,0
2021-04-01,Крым Республика,10,53900,35800,552,197,30,4,0
2021-04-01,Саратовская область,15,278800,173600,2027,1237,361,0,0
2021-04-01,Мурманская область,2,2200,1700,16,19,3,0,0
2021-04-01,Омская область,2,47200,29600,518,104,20,0,0
2021-04-01,Ханты-Мансийский АО - Югра,10,107700,56000,485,425,126,7,42
2021-04-01,Курская область,1,6900,5400,41,40,19,0,0
2021-04-01,Забайкальский край,1,9100,9100,120,48,0,0,0
2021-04-01,Приморский край,7,165900,98000,674,499,105,89,373
2021-05-01,Томская область,1,9800,7000,53,60,0,15,0
2021-05-01,Ханты-Мансийский АО - Югра,13,152600,87200,731,727,178,7,42
2021-05-01,Омская область,3,58300,36300,575,104,20,0,50
2021-05-01,Смоленская область,10,82700,60600,648,376,153,0,0
2021-05-01,Иркутская область,26,156500,103200,1132,673,171,0,68
2021-05-01,Ульяновская область,21,134800,96200,726,730,299,27,36
2021-05-01,Пермский край,22,387100,249700,1927,1804,997,42,217
2021-05-01,Мурманская область,2,2200,1700,16,19,3,0,0
2021-05-01,Владимирская область,11,79200,59100,679,386,138,5,66
2021-05-01,Марий Эл Республика,8,70500,47900,401,302,168,4,0
2021-05-01,Вологодская область,10,56400,44300,411,295,133,5,0
2021-05-01,Бурятия Республика,4,32400,19700,254,140,28,3,0
2021-05-01,Башкортостан Республика,24,387100,263000,3835,1324,574,2,29
2021-05-01,Орловская область,3,33700,23400,186,141,99,0,0
